Month	Date	KualaLumpur	Johor	Penang
Jan	24	29.7	27.7	29.9
Jan	25	29.8	27.3	29.3
Jan	26	29.3	27.7	29.2
Jan	27	29.1	27.7	29.3
Jan	28	29.3	27.1	29.6
Jan	29	25.7	26.1	29.3
Jan	30	27.5	26.4	29.2
Jan	31	28.0	27.6	28.4
Feb	1	29.2	26.9	28.3
Feb	2	29.4	27.4	29.2
Feb	3	29.1	27.3	28.7
Feb	4	28.4	26.8	28.1
Feb	5	28.4	27.2	28.5
Feb	6	28.9	28.0	29.0
Feb	7	28.3	27.7	29.5
Feb	8	28.4	26.9	28.9
Feb	9	27.8	25.7	28.8
Feb	10	27.2	26.1	28.1
Feb	11	28.7	26.6	28.3
Feb	12	29.6	27.6	29.2
Feb	13	28.5	28.1	28.7
Feb	14	28.1	27.9	29.4
Feb	15	27.8	28.2	28.7
Feb	16	28.1	27.9	29.2
Feb	17	28.8	28.2	29.6
Feb	18	26.6	25.3	27.9
Feb	19	28.4	27.8	27.9
Feb	20	29.1	27.4	29.1
Feb	21	29.3	26.3	30.2
Feb	22	29.6	27.8	29.3
Feb	23	29.6	27.5	29.4
Feb	24	29.6	26.7	29.3
Feb	25	29.6	27.7	29.6
Feb	26	28.7	28.1	30.1
Feb	27	29.3	28.1	29.8
Feb	28	30.3	27.9	29.8
Feb	29	30.2	27.9	29.9
Mar	1	29.1	27.6	29.9
Mar	2	29.3	27.4	29.8
Mar	3	28.7	27.8	29.9
Mar	4	30.2	28.1	29.8
Mar	5	28.6	26.9	29.8
Mar	6	27.7	27.6	29.3
Mar	7	27.0	27.6	29.4
Mar	8	27.9	28.2	30.1
Mar	9	29.6	28.6	30.1
Mar	10	30.7	29.0	30.2
Mar	11	29.4	29.4	28.9
Mar	12	28.7	28.6	30.2
Mar	13	29.4	28.8	30.1
Mar	14	30.2	28.6	30.2
Mar	15	29.1	28.8	30.4
Mar	16	30.6	28.4	29.3
Mar	17	30.6	28.1	30.1
Mar	18	29.7	28.2	29.8
Mar	19	28.9	28.4	29.6
Mar	20	29.8	27.3	29.1
Mar	21	27.9	26.8	29.2
Mar	22	28.4	26.7	29.2
Mar	23	27.9	26.2	29.7
Mar	24	27.3	27.6	29.3
Mar	25	29.8	28.0	29.3
